Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status
706A91F7,Autonomous Vehicles,2021,USA,San Francisco,Series C+,53.02,453.73,22.88,3.58,14.4,188,0,188,Tier 3 (Angel/Seed),Medium,Closed
AE13023F,Cybersecurity,2012,China,Beijing,Series A,9.5,115.39,20.72,0.91,9.4,49,0,49,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent
C7EA8121,Generative AI,2018,Israel,Tel Aviv,Series C+,123.93,1046.67,60.22,7.88,15.5,645,130,515,Tier 3 (Angel/Seed),Low,Independent
0FDAFED6,Autonomous Vehicles,2020,USA,New York,Series B,36.5,331.43,11.93,1.84,18.8,173,40,133,Tier 3 (Angel/Seed),None,Independent
683CE85F,FinTech,2019,USA,Miami,Series A,6.01,76.58,3.59,0.7,7.5,38,19,19,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired
16BD2DEB,Cybersecurity,2018,UK,London,Series A,25.21,276.88,17.28,2.07,11.6,120,0,120,Tier 2 (Mid-size VC),Low,Independent
D445E1E4,Autonomous Vehicles,2021,USA,Miami,Series B,8.8,70.17,11.93,0.85,9.3,52,0,52,Tier 3 (Angel/Seed),Low,Independent
B0454B75,SpaceTech,2023,UK,Cambridge,Series A,8.43,44.87,2.46,1.01,7.6,65,36,29,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale)
3DE0403F,Generative AI,2022,USA,Seattle,Series B,136.24,1383.76,89.19,10.59,12.7,590,112,478,Tier 3 (Angel/Seed),High,Closed
2FF85461,Robotics,2020,USA,San Francisco,Series A,16.1,162.45,9.39,1.28,11.7,74,0,74,Tier 3 (Angel/Seed),High,Independent
B8C4E956,HealthTech,2022,USA,Boston,Series B,16.92,202.63,9.02,1.19,13.1,66,0,66,Tier 3 (Angel/Seed),Medium,Closed
BABEF0C3,Cybersecurity,2023,USA,Boston,Seed,3.3,36.77,3.13,0.38,6.9,23,0,23,Tier 2 (Mid-size VC),High,Independent
4B531EBD,EdTech,2019,Canada,Montreal,Series B,8.84,91.67,5.3,0.25,25.3,20,0,20,Tier 3 (Angel/Seed),High,Acquired
5C2187D9,Generative AI,2018,France,Lyon,Series B,11.91,110.58,16.12,0.93,11.6,49,0,49,Tier 3 (Angel/Seed),High,Closed
E61203D5,FinTech,2014,China,Shenzhen,Series A,13.46,112.67,17.29,0.79,15.1,48,7,41,Corporate VC (e.g. Google Ventures),None,Independent
575EA69F,HealthTech,2019,China,Beijing,Seed,0.44,16.62,2.51,0.31,1.1,20,0,20,Tier 3 (Angel/Seed),Low,Independent
4085458D,Robotics,2023,USA,Miami,Series A,6.02,53.81,3.35,0.45,10.9,33,0,33,Tier 3 (Angel/Seed),None,Independent
550A115C,Generative AI,2020,India,Bengaluru,Seed,16.77,92.54,3.84,1.1,14,55,0,55,Tier 2 (Mid-size VC),None,IPO
69784C89,SpaceTech,2020,China,Shenzhen,Seed,1.43,25.38,1.08,0.38,3,33,0,33,Tier 2 (Mid-size VC),Medium,Independent
62135F3E,Web3/Crypto,2015,USA,Miami,Series A,3.24,34.28,1.23,0.41,6.4,26,22,4,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale)
07C4D9E1,SpaceTech,2015,USA,Austin,Series B,21.31,193.19,10.08,2.16,9.4,162,79,83,Tier 3 (Angel/Seed),Low,Independent
81A1F9FE,FinTech,2019,USA,San Francisco,Seed,0.46,10.86,0.8,0.31,1.1,27,0,27,Tier 2 (Mid-size VC),None,Independent
6C84A8CE,ClimateTech,2023,USA,Austin,Seed,0,39.22,2.36,0.56,0,47,22,25,Bootstrapped,Medium,Independent
8C8DA4A9,HealthTech,2019,UK,Cambridge,Series B,6.41,39.86,4.98,1.11,5.3,56,0,56,Corporate VC (e.g. Google Ventures),High,Independent
7B02F98B,Web3/Crypto,2022,France,Paris,Series B,59.61,330.83,22.85,1.61,34.9,138,0,138,Tier 3 (Angel/Seed),High,Independent
9B4563BE,Web3/Crypto,2015,India,Hyderabad,Seed,0.48,21.83,1.02,0.12,2.2,9,6,3,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale)
7CBAB631,Robotics,2020,China,Beijing,Seed,2.05,26.94,1.76,1,1.9,53,0,53,Tier 2 (Mid-size VC),High,Independent
AEE82485,HealthTech,2020,USA,Miami,Seed,0.39,13.42,1.32,0.42,0.8,41,0,41,Corporate VC (e.g. Google Ventures),Medium,Closed
C2AC2DC6,SpaceTech,2022,USA,Miami,Series C+,137.66,962.97,73.49,6.67,20.3,474,113,361,Tier 3 (Angel/Seed),None,Independent
582E44F6,Robotics,2012,UK,Cambridge,Series B,37.19,458.69,36.68,3.26,11.1,167,85,82,Corporate VC (e.g. Google Ventures),High,Acquired (Fire Sale)
2DE834F5,Generative AI,2016,USA,Seattle,Pre-IPO,355.24,3283.47,446.24,10.69,32.9,832,0,832,Corporate VC (e.g. Google Ventures),High,Independent
99E9D2C9,FinTech,2017,USA,New York,Series B,6.92,56.02,1.93,0.35,15.4,32,0,32,Tier 3 (Angel/Seed),None,Acquired
78CDDECF,FinTech,2023,UK,Oxford,Pre-IPO,117.43,638.67,29,1.73,64.2,157,0,157,Tier 3 (Angel/Seed),Medium,Independent
FDBD75B2,Generative AI,2016,USA,San Francisco,Series A,23.77,94.82,8.08,1.05,20.7,89,0,89,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
D2436454,Robotics,2013,USA,Miami,Series A,5.24,33.09,2.18,0.44,9.7,28,0,28,Tier 3 (Angel/Seed),High,Independent
518DC946,Autonomous Vehicles,2020,USA,Austin,Series B,6.51,62.35,2.58,0.84,6.9,46,19,27,Tier 2 (Mid-size VC),Low,Independent
E788B69E,Robotics,2020,USA,Miami,Seed,1.62,30.99,1.18,0.58,2.4,49,0,49,Tier 3 (Angel/Seed),Medium,Independent
5464B461,Generative AI,2021,China,Shanghai,Seed,2.93,42.61,1.62,0.47,5.1,43,20,23,Tier 2 (Mid-size VC),Medium,Independent
DBDD67C2,HealthTech,2023,USA,New York,Seed,2.69,23.51,1.02,0.3,6.7,17,10,7,Tier 3 (Angel/Seed),High,Closed
B73A0E54,Web3/Crypto,2020,USA,Austin,Series A,20.93,251.52,18.97,2.63,7.7,161,116,45,Tier 3 (Angel/Seed),Medium,Closed
0971877E,Robotics,2023,USA,New York,Series A,8.05,57.78,2.07,0.94,7.7,57,0,57,Tier 3 (Angel/Seed),Low,Acquired
23CF914D,ClimateTech,2021,USA,Seattle,Series A,4.71,55.29,6.89,0.77,5.4,40,0,40,Tier 3 (Angel/Seed),High,Acquired
C7C37388,Cybersecurity,2018,France,Paris,Series C+,26.34,289.67,11.26,2.01,12.5,107,0,107,Tier 3 (Angel/Seed),High,Independent
4E60AF46,Robotics,2023,USA,Seattle,Series C+,24.25,270.66,19.43,0.97,22.7,79,0,79,Tier 3 (Angel/Seed),Medium,Independent
4FF8CC76,Cybersecurity,2020,USA,Austin,Post-IPO,397.26,4529.59,244.48,8.8,44.6,849,0,849,Tier 3 (Angel/Seed),Medium,Closed
73075C73,HealthTech,2019,UK,Cambridge,Series A,11.06,51.46,1.99,0.84,11.8,50,0,50,Corporate VC (e.g. Google Ventures),High,Independent
CE5E711C,ClimateTech,2020,USA,San Francisco,Seed,1.09,19.13,0.73,0.31,2.7,25,7,18,Tier 3 (Angel/Seed),Medium,Independent
5C2A027F,ClimateTech,2019,China,Beijing,Seed,1.21,17.73,2.46,0.5,2,49,18,31,Tier 2 (Mid-size VC),Medium,Closed
2CEE39DE,FinTech,2015,USA,Austin,Seed,0.8,22.5,2.99,0.39,1.6,30,8,22,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
3E78DD66,Generative AI,2021,Japan,Kyoto,Seed,4.1,60.3,3.5,0.35,9.1,18,0,18,Tier 3 (Angel/Seed),High,Closed
8BDDE959,EdTech,2021,Singapore,Singapore,Series A,4.21,59.12,4.74,0.28,11.1,17,0,17,Tier 2 (Mid-size VC),High,Independent
758255A0,SpaceTech,2021,UK,London,Seed,7.7,44.02,1.55,0.25,22,13,0,13,Tier 2 (Mid-size VC),Low,Independent
DA8DB07B,Generative AI,2017,India,Mumbai,Series B,141.89,746.92,56.99,6.86,20.4,504,0,504,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
41052305,Generative AI,2023,USA,Seattle,Series A,14.33,152.3,15.69,0.79,16.1,45,0,45,Tier 3 (Angel/Seed),Low,Closed
F4CFEE6B,FinTech,2013,Singapore,Singapore,Series A,8.34,114.3,5.89,0.57,12.4,41,0,41,Corporate VC (e.g. Google Ventures),Medium,Independent
DB44923B,ClimateTech,2018,USA,San Francisco,Seed,5.48,58.74,4.63,0.33,12.7,25,10,15,Tier 2 (Mid-size VC),Low,Independent
64212FC3,Generative AI,2018,USA,Miami,Seed,7.34,57.39,5.45,0.61,10.3,61,0,61,Corporate VC (e.g. Google Ventures),High,Acquired
C51BE718,FinTech,2013,USA,Boston,Series A,3.86,38.32,1.6,0.57,5.8,56,0,56,Tier 2 (Mid-size VC),High,Independent
FD07FE5E,Robotics,2019,USA,San Francisco,Seed,1.83,15.72,1.84,0.34,4.2,17,0,17,Tier 3 (Angel/Seed),High,IPO
F2E01CDE,ClimateTech,2020,China,Shanghai,Series B,372.19,1930.05,158.36,15.32,24.1,1297,0,1297,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
